Cordis ID,Acronym,Title,Funding scheme,OrganisationID,Organisation name,shortName,SME,activityType,city,country,geolocation,Website,role,ecContribution,totalCost,theme,topic,eu
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,999993468,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,NA,false,HES,LONDON,UK,"51.5073219,-0.1276473",http://www.imperial.ac.uk,participant,369984,369984,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,999988909,NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO,NETHERLANDS ORGANISATION FORAPPLIED SCIENTIFIC RESEARCH,false,REC,Den Haag,NL,"52.0822233,4.3257144",http://www.tno.nl,participant,344730.86,344730.86,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,991256096,AALTO KORKEAKOULUSAATIO SR,AALTO,false,HES,Espoo,FI,"60.18734485,24.826497936777006",http://www.aalto.fi/en/,participant,229550,229550,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,936636366,REVOLVE MEDIA,REVOLVE MEDIA,true,PRC,Bruxelles / Brussel,BE,"50.8465565,4.351697",NA,thirdParty,0,110500,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,999988715,STICHTING ENERGIEONDERZOEK CENTRUM NEDERLAND,ECN,false,REC,Petten,NL,"52.7832649,4.6745571",http://www.ecn.nl,participant,97504.14,97504.14,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,998401795,LEIBNIZ-INSTITUT FUR AGRARTECHNIK UND BIOOKONOMIE EV,ATB,false,REC,Potsdam,DE,"52.4383205,13.012641792463828",www.atb-potsdam.de,participant,272488,272488,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,999985805,UNIVERSITEIT UTRECHT,UU,false,HES,Utrecht,NL,"52.0851807,5.1754514",http://www.uu.nl,participant,318065,318065,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,998454078,FACHAGENTUR NACHWACHSENDE ROHSTOFFE EV,NA,false,OTH,Gulzow,DE,"53.8206712,12.0673027",http://www.fnr.de,coordinator,411605.25,411605.25,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,999980373,CHALMERS TEKNISKA HOGSKOLA AB,NA,false,HES,GOTEBORG,SE,"57.6743627,11.8648884",http://www.chalmers.se,participant,301965,301965,Alt fuels,Biofuels,Yes
764799,ADVANCEFUEL,Facilitating market roll-out of RESfuels in the transport sector to 2030 and beyond,CSA,995542041,GREENOVATE ! EUROPE,Greenovate! Europe,false,OTH,Bruxelles / Brussel,BE,"50.8546826,4.3199726",http://www.greenovate-europe.eu/,participant,282354,282354,Alt fuels,Biofuels,Yes
